,Payout,Portfolio_Value,Win,Loss,Surrender,Blackjack,Push
0,0.0,0.0,0,0,0,0,0
0,50.0,350.0,0,0,1,0,0
0,50.0,400.0,0,0,1,0,0
0,50.0,450.0,0,0,1,0,0
1,-25.0,425.0,0,0,1,0,0
2,50.0,475.0,0,0,1,0,0
3,50.0,525.0,0,0,1,0,0
4,50.0,575.0,0,0,1,0,0
5,75.0,650.0,1,0,0,1,0
6,50.0,700.0,0,0,1,0,0
7,50.0,750.0,0,0,1,0,0
8,50.0,800.0,0,0,1,0,0
9,-50.0,750.0,0,1,0,0,0
10,-50.0,700.0,0,1,0,0,0
11,75.0,775.0,1,0,0,1,0
12,-50.0,725.0,0,1,0,0,0
12,-50.0,675.0,0,1,0,0,0
12,-50.0,625.0,0,1,0,0,0
13,-50.0,575.0,0,1,0,0,0
14,-25.0,550.0,0,0,1,0,0
15,50.0,600.0,0,0,1,0,0
16,-50.0,550.0,0,1,0,0,0
17,0.0,550.0,0,0,0,0,1
18,50.0,600.0,0,0,1,0,0
19,50.0,650.0,0,0,1,0,0
20,-50.0,600.0,0,1,0,0,0
21,-50.0,550.0,0,1,0,0,0
21,0.0,550.0,0,0,0,0,1
21,-50.0,500.0,0,1,0,0,0
22,-50.0,450.0,0,1,0,0,0
23,50.0,500.0,0,0,1,0,0
24,-50.0,450.0,0,1,0,0,0
25,-50.0,400.0,0,1,0,0,0
26,50.0,450.0,0,0,1,0,0
27,50.0,500.0,0,0,1,0,0
28,-50.0,450.0,0,1,0,0,0
29,-50.0,400.0,0,1,0,0,0
30,-50.0,350.0,0,0,1,0,0
31,0.0,350.0,0,0,0,0,1
32,-50.0,300.0,0,1,0,0,0
33,-50.0,250.0,0,1,0,0,0
34,50.0,300.0,0,0,1,0,0
35,-50.0,250.0,0,1,0,0,0
36,50.0,300.0,0,0,1,0,0
37,-50.0,250.0,0,1,0,0,0
38,-50.0,200.0,0,1,0,0,0
39,50.0,250.0,0,0,1,0,0
40,50.0,300.0,0,0,1,0,0
41,0.0,300.0,0,0,0,0,1
42,50.0,350.0,0,0,1,0,0
43,50.0,400.0,0,0,1,0,0
44,0.0,400.0,0,0,0,0,1
45,50.0,450.0,0,0,1,0,0
46,50.0,500.0,0,0,1,0,0
47,0.0,500.0,0,0,0,0,1
48,-50.0,450.0,0,1,0,0,0
49,50.0,500.0,0,0,1,0,0
50,50.0,550.0,0,0,1,0,0
51,-50.0,500.0,0,1,0,0,0
52,0.0,500.0,0,0,0,0,1
53,-50.0,450.0,0,1,0,0,0
54,50.0,500.0,0,0,1,0,0
55,-50.0,450.0,0,1,0,0,0
56,50.0,500.0,0,0,1,0,0
57,50.0,550.0,0,0,1,0,0
58,-50.0,500.0,0,1,0,0,0
59,50.0,550.0,0,0,1,0,0
60,-25.0,525.0,0,0,1,0,0
61,-25.0,500.0,0,0,1,0,0
62,-50.0,450.0,0,1,0,0,0
63,50.0,500.0,0,0,1,0,0
64,50.0,550.0,0,0,1,0,0
65,-25.0,525.0,0,0,1,0,0
66,-25.0,500.0,0,0,1,0,0
67,-50.0,450.0,0,1,0,0,0
68,50.0,500.0,0,0,1,0,0
69,50.0,550.0,0,0,1,0,0
70,50.0,600.0,0,0,1,0,0
71,50.0,650.0,0,0,1,0,0
72,-25.0,625.0,0,0,1,0,0
73,-50.0,575.0,0,1,0,0,0
73,0.0,575.0,0,0,0,0,1
73,0.0,575.0,0,0,0,0,1
74,-50.0,525.0,0,1,0,0,0
75,50.0,575.0,0,0,1,0,0
76,0.0,575.0,0,0,0,0,1
77,-50.0,525.0,0,1,0,0,0
78,-50.0,475.0,0,1,0,0,0
79,-50.0,425.0,0,1,0,0,0
80,50.0,475.0,0,0,1,0,0
81,-50.0,425.0,0,1,0,0,0
82,-50.0,375.0,0,1,0,0,0
83,50.0,425.0,0,0,1,0,0
84,-50.0,375.0,0,1,0,0,0
85,-50.0,325.0,0,1,0,0,0
85,-50.0,275.0,0,1,0,0,0
85,-50.0,225.0,0,1,0,0,0
85,-50.0,175.0,0,1,0,0,0
85,-50.0,125.0,0,1,0,0,0
86,-50.0,75.0,0,1,0,0,0
87,50.0,125.0,0,0,1,0,0
88,50.0,175.0,0,0,1,0,0
89,50.0,225.0,0,0,1,0,0
90,50.0,275.0,0,0,1,0,0
91,-50.0,225.0,0,1,0,0,0
92,50.0,275.0,0,0,1,0,0
93,-25.0,250.0,0,0,1,0,0
94,-50.0,200.0,0,1,0,0,0
95,50.0,250.0,0,0,1,0,0
96,-50.0,200.0,0,0,1,0,0
97,50.0,250.0,0,0,1,0,0
98,50.0,300.0,0,0,1,0,0
99,-50.0,250.0,0,1,0,0,0
100,50.0,300.0,0,0,1,0,0
101,50.0,350.0,0,0,1,0,0
102,75.0,425.0,1,0,0,1,0
103,-50.0,375.0,0,1,0,0,0
104,50.0,425.0,0,0,1,0,0
104,50.0,475.0,0,0,1,0,0
104,50.0,525.0,0,0,1,0,0
105,50.0,575.0,0,0,1,0,0
106,50.0,625.0,0,0,1,0,0
107,50.0,675.0,0,0,1,0,0
108,50.0,725.0,0,0,1,0,0
109,50.0,775.0,0,0,1,0,0
110,-50.0,725.0,0,1,0,0,0
